file_name,real,baseline
br-a01,26,12
br-a02,33,17
br-a03,1,0
br-a04,3,0
br-a05,1,0
br-a06,3,1
br-a07,3,1
br-a08,3,0
br-a09,2,0
br-a10,3,0
br-a11,36,16
br-a12,36,16
br-a13,39,17
br-a14,31,16
br-a15,32,14
br-a16,4,0
br-a17,3,0
br-a18,1,0
br-a19,2,0
br-a20,2,0
br-a21,3,0
br-a22,3,0
br-a23,1,0
br-a24,1,0
br-a25,2,0
br-a26,2,1
br-a27,3,0
br-a28,2,0
br-a29,5,0
br-a30,3,1
br-a31,4,0
br-a32,3,0
br-a33,3,1
br-a34,3,0
br-a35,1,0
br-a36,1,0
br-a37,3,1
br-a38,5,1
br-a39,5,1
br-a40,4,1
br-a41,5,1
br-a42,4,1
br-a43,3,0
br-a44,1,0
br-b01,2,0
br-b02,3,0
br-b03,3,0
br-b04,3,0
br-b05,3,0
br-b06,2,0
br-b07,2,0
br-b08,5,1
br-b09,4,1
br-b10,2,0
br-b11,5,1
br-b12,3,0
br-b13,28,9
br-b14,3,0
br-b15,1,0
br-b16,2,0
br-b17,2,0
br-b18,1,0
br-b19,3,0
br-b20,27,13
br-b21,2,0
br-b22,1,0
br-b23,2,0
br-b24,4,1
br-b25,2,0
br-b26,3,0
br-b27,3,0
br-c01,32,14
br-c02,24,9
br-c03,2,0
br-c04,28,13
br-c05,3,1
br-c06,3,0
br-c07,2,1
br-c08,5,1
br-c09,4,0
br-c10,3,0
br-c11,3,1
br-c12,2,0
br-c13,3,0
br-c14,2,0
br-c15,2,0
br-c16,4,0
br-c17,6,1
br-d01,15,3
br-d02,20,7
br-d03,31,13
br-d04,24,5
br-d05,5,0
br-d06,3,0
br-d07,3,0
br-d08,2,0
br-d09,4,0
br-d10,3,0
br-d11,3,0
br-d12,2,0
br-d13,1,0
br-d14,2,0
br-d15,3,0
br-d16,6,1
br-d17,3,0
br-e01,23,8
br-e02,24,7
br-e03,2,0
br-e04,24,9
br-e05,3,0
br-e06,2,0
br-e07,9,1
br-e08,2,0
br-e09,3,1
br-e10,4,2
br-e11,7,0
br-e12,2,0
br-e13,5,1
br-e14,11,0
br-e15,12,0
br-e16,7,0
br-e17,2,0
br-e18,3,0
br-e19,3,0
br-e20,3,0
br-e21,15,3
br-e22,27,10
br-e23,22,9
br-e24,21,6
br-e25,23,8
br-e26,22,9
br-e27,33,8
br-e28,14,3
br-e29,18,6
br-e30,17,5
br-e31,24,9
br-f01,2,0
br-f02,5,1
br-f03,17,5
br-f04,3,0
br-f05,5,1
br-f06,4,0
br-f07,2,0
br-f08,19,6
br-f09,3,0
br-f10,28,10
br-f11,3,0
br-f12,2,0
br-f13,12,2
br-f14,28,12
br-f15,22,9
br-f16,30,14
br-f17,36,20
br-f18,30,12
br-f19,21,7
br-f20,33,13
br-f21,22,8
br-f22,31,14
br-f23,23,7
br-f24,32,11
br-f25,27,13
br-f33,15,4
br-f43,19,5
br-f44,20,5
br-g01,25,9
br-g02,3,0
br-g03,3,0
br-g04,3,0
br-g05,2,0
br-g06,2,0
br-g07,3,0
br-g08,3,0
br-g09,3,0
br-g10,2,0
br-g11,13,3
br-g12,17,6
br-g13,3,0
br-g14,22,7
br-g15,24,9
br-g16,16,5
br-g17,27,10
br-g18,21,8
br-g19,24,8
br-g20,17,4
br-g21,24,8
br-g22,14,4
br-g23,23,8
br-g28,23,10
br-g31,29,14
br-g39,28,14
br-g43,15,4
br-g44,16,5
br-h01,23,10
br-h02,1,0
br-h03,1,0
br-h04,1,0
br-h05,1,0
br-h06,2,1
br-h07,2,0
br-h08,3,0
br-h09,23,6
br-h10,1,0
br-h11,23,9
br-h12,23,5
br-h13,28,13
br-h14,40,9
br-h15,22,5
br-h16,25,13
br-h17,23,9
br-h18,14,4
br-h21,19,4
br-h24,29,9
br-j01,24,11
br-j02,27,13
br-j03,18,6
br-j04,22,8
br-j05,23,10
br-j06,21,11
br-j07,24,8
br-j08,19,6
br-j09,32,12
br-j10,28,9
br-j11,27,9
br-j12,34,16
br-j13,32,3
br-j14,31,19
br-j15,37,20
br-j16,32,13
br-j17,25,12
br-j18,26,10
br-j19,25,5
br-j20,20,2
br-j21,1,0
br-j22,11,3
br-j23,18,4
br-j24,1,0
br-j25,2,0
br-j26,0,0
br-j27,2,0
br-j28,2,0
br-j29,20,5
br-j30,14,3
br-j31,21,5
br-j32,14,1
br-j33,16,5
br-j34,18,8
br-j35,24,7
br-j37,16,7
br-j38,15,3
br-j41,12,3
br-j42,18,6
br-j52,12,2
br-j53,15,3
br-j54,19,7
br-j55,27,10
br-j56,33,20
br-j57,24,7
br-j58,28,13
br-j59,26,10
br-j60,21,9
br-j70,25,9
br-k01,21,8
br-k02,24,6
br-k03,25,8
br-k04,19,8
br-k05,21,7
br-k06,33,10
br-k07,27,7
br-k08,21,9
br-k09,19,7
br-k10,30,10
br-k11,25,8
br-k12,27,10
br-k13,22,10
br-k14,25,10
br-k15,28,12
br-k16,32,11
br-k17,32,16
br-k18,26,9
br-k19,22,7
br-k20,24,9
br-k21,22,7
br-k22,23,8
br-k23,22,7
br-k24,25,8
br-k25,20,6
br-k26,22,10
br-k27,23,8
br-k28,25,11
br-k29,23,7
br-l01,6,2
br-l02,7,3
br-l03,3,0
br-l04,5,1
br-l05,8,2
br-l06,5,1
br-l07,6,2
br-l08,24,11
br-l09,25,14
br-l10,20,11
br-l11,22,8
br-l12,26,10
br-l13,20,8
br-l14,24,8
br-l15,27,11
br-l16,24,9
br-l17,28,12
br-l18,21,9
br-m01,28,10
br-m02,25,10
br-m03,3,1
br-m04,5,1
br-m05,2,0
br-m06,6,1
br-n01,7,3
br-n02,8,2
br-n03,7,1
br-n04,6,1
br-n05,18,8
br-n06,5,0
br-n07,6,2
br-n08,4,1
br-n09,23,7
br-n10,27,13
br-n11,23,8
br-n12,27,11
br-n14,27,10
br-n15,27,11
br-n16,32,13
br-n17,23,8
br-n20,23,5
br-p01,24,8
br-p02,6,2
br-p03,6,1
br-p04,5,1
br-p05,4,1
br-p06,7,2
br-p07,26,11
br-p08,4,0
br-p09,16,6
br-p10,22,9
br-p12,23,9
br-p24,28,15
br-r01,3,1
br-r02,3,0
br-r03,4,1
br-r04,20,9
br-r05,22,6
br-r06,24,9
br-r07,21,8
br-r08,32,15
br-r09,34,11
